;Nummer;K¸rzel;Langname;Kurzname;Online-Info Haltestelle;Externe Online-Info Haltestelle;Anz. Pos.;Ansage-Nr.;Linien-Darst.;Funkgest¸tzt;÷ffne Verweis;X-Koord;Y-Koord;Globale Haltestellen-Kennung
271;16006;OPF;Oberpfalzbr¸cke;Oberpfalzbr¸cke;;;2;122;X;;;0;0;de:09362:16006
272;15022;OSTD;Ostdeutsche Galerie;Ostdeutsche Galerie;;;2;125;X;;;0;0;de:09362:15022
273;13033;OSTE;Osterhofener Straﬂe;Osterhofener Straﬂe;;;2;571;X;;;0;0;de:09362:13033
274;12045;OSTP;Ostpreuﬂenstraﬂe;Ostpreuﬂenstraﬂe;;;1;127;X;;;0;0;de:09362:12045
275;14025;OTH;OTH Regensburg;OTH Regensburg;;;2;426;X;;;0;0;de:09362:14025
276;16008;OWIN;Oberwinzer;Oberwinzer;;;2;124;X;;;0;0;de:09362:16008
277;14029;PAUL;Kirche Sankt Paul;Kirche Sankt Paul;;;1;84;X;;;0;0;de:09362:14029
278;20002;PENA;Pentling Ahornstraﬂe;Pentling Ahornstraﬂe;;;2;130;X;;;0;0;de:09375:20002
279;20003;PENH;Pentling Hˆlkeringer Str.;Pentling Hˆlkeringer Str.;;;4;209;X;;;0;0;de:09375:20003
280;20005;PENO;Pentling Ortsmitte;Pentling Ortsmitte;;;2;131;X;;;0;0;de:09375:20005
281;20001;PENT;Pentling;Pentling;;;3;129;X;;;0;0;de:09375:20001
282;31;PENZ;Abzw. Pentling;Abzw. Pentling;;;1;525;X;;;0;0;de:09375:31
283;14049;PEST;Pestalozzischule;Pestalozzischule;;;1;345;X;;;0;0;de:09362:14049
284;16010;PFAB;Pfaffensteiner Br¸cke;Pfaffensteiner Br¸cke;;;2;135;X;;;0;0;de:09362:16010
285;16034;PFAE;Pf‰lzer Siedlung;Pf‰lzer Siedlung;;;2;223;X;;;0;0;de:09362:16034
286;12046;POMM;Pommernstraﬂe;Pommernstraﬂe;X;;3;138;X;;;0;0;de:09362:12046
287;9996;PRHF;Bahnhof Pr¸fening;Bahnhof Pr¸fening;;;1;556;X;;;0;0;de:09362:10
288;13025;PRIL;Prinz-Ludwig-Straﬂe;Prinz-Ludwig-Straﬂe;;;3;166;X;;;0;0;de:09362:13025
289;15023;PRUE;Pr¸fening;Pr¸fening;;;2;139;X;;;0;0;de:09362:15023
290;14069;RAUB;Oberisling Rauberstraﬂe;Oberisling Rauberstraﬂe;;;2;140;X;;;0;0;de:09362:14069
291;15025;RENP;Rennplatz;Rennplatz;;;2;147;X;;;0;0;de:09362:15025
292;15026;RENW;Rennweg;Rennweg;;;1;148;X;;;0;0;de:09362:15026
293;12047;RHBR;Reinhausen Br¸cke;Reinhausen Br¸cke;;;4;142;X;;;0;0;de:09362:12047
294;12048;RHKI;Reinhausen Kirche;Reinhausen Kirche;;;2;143;X;;;0;0;de:09362:12048
295;498;RICH;Von-Richthofen-Straﬂe;Von-Richthofen-Straﬂe;;;2;23;X;;;0;0;de:09362:498
296;12089;RIES;Riesengebirgstraﬂe;Riesengebirgstraﬂe;;;1;0;X;;;0;0;
297;16042;RINN;Bei der Rinnen;Bei der Rinnen;;;2;521;X;;;0;0;de:09362:16042
298;20006;ROTS;Pentling Rots‰ulenweg;Pentling Rots‰ulenweg;;;2;151;X;;;0;0;de:09375:20006
299;14107;RUNT;Runtingerstraﬂe;Runtingerstraﬂe;;;3;592;X;;;0;0;de:09362:14107
300;15010;SACH;Hans-Sachs-Straﬂe;Hans-Sachs-Straﬂe;;;3;62;X;;;0;0;de:09362:15010
301;16013;SAD;Schwandorfer Straﬂe;Schwandorfer Straﬂe;;;2;371;X;;;0;0;de:09362:16013
302;14071;SAFF;Safferlingstraﬂe;Safferlingstraﬂe;X;;5;152;X;;;0;0;de:09362:14071
303;12055;SAND;Sandgasse;Sandgasse;;;2;156;X;;;0;0;de:09362:12055
304;12002;SAUE;An der Schauergrube;An der Schauergrube;;;2;10;X;;;0;0;de:09362:12002
